date,country,continent,population,cases,deaths
1/15/2020,Afghanistan,Asia,37172386,0,0
1/15/2020,Algeria,Africa,42228429,0,0
1/15/2020,Armenia,Europe,2951776,0,0
1/15/2020,Australia,Asia,24992369,0,0
1/15/2020,Austria,Europe,8847037,0,0
1/15/2020,Azerbaijan,Europe,9942334,0,0
1/15/2020,Bahrain,Asia,1569439,0,0
1/15/2020,Belarus,Europe,9485386,0,0
1/15/2020,Belgium,Europe,11422068,0,0
1/15/2020,Brazil,Americas,209469333,0,0
1/15/2020,Cambodia,Asia,16249798,0,0
1/15/2020,Canada,Americas,37058856,0,0
1/15/2020,Japan,Asia,3000,0,0
1/15/2020,China,Asia,1392730000,59,2
1/15/2020,Croatia,Europe,4089400,0,0
1/15/2020,Czech Republic,Europe,10625695,0,0
1/15/2020,Denmark,Europe,5797446,0,0
1/15/2020,Dominican Republic,Americas,10627165,0,0
1/15/2020,Ecuador,Americas,17084357,0,0
1/15/2020,Egypt,Africa,98423595,0,0
1/15/2020,Estonia,Europe,1320884,0,0
1/15/2020,Finland,Europe,5518050,0,0
1/15/2020,France,Europe,66987244,0,0
1/15/2020,Georgia,Europe,3731000,0,0
1/15/2020,Germany,Europe,82927922,0,0
1/15/2020,Greece,Europe,10727668,0,0
1/15/2020,Iceland,Europe,353574,0,0
1/15/2020,India,Asia,1352617328,0,0
1/15/2020,Indonesia,Asia,267663435,0,0
1/15/2020,Iran,Asia,81800269,0,0
1/15/2020,Iraq,Asia,38433600,0,0
1/15/2020,Ireland,Europe,4853506,0,0
1/15/2020,Israel,Asia,8883800,0,0
1/15/2020,Italy,Europe,60431283,0,0
1/15/2020,Japan,Asia,126529100,1,0
1/15/2020,Kuwait,Asia,4137309,0,0
1/15/2020,Lebanon,Asia,6848925,0,0
1/15/2020,Lithuania,Europe,2789533,0,0
1/15/2020,Luxembourg,Europe,607728,0,0
1/15/2020,Malaysia,Asia,31528585,0,0
1/15/2020,Mexico,Americas,126190788,0,0
1/15/2020,Monaco,Europe,38682,0,0
1/15/2020,Nepal,Asia,28087871,0,0
1/15/2020,Netherlands,Europe,17231017,0,0
1/15/2020,New Zealand,Asia,4885500,0,0
1/15/2020,Nigeria,Africa,195874740,0,0
1/15/2020,North Macedonia,Europe,2082958,0,0
1/15/2020,Norway,Europe,5314336,0,0
1/15/2020,Oman,Asia,4829483,0,0
1/15/2020,Pakistan,Asia,212215030,0,0
1/15/2020,Philippines,Asia,106651922,0,0
1/15/2020,Qatar,Asia,2781677,0,0
1/15/2020,Romania,Europe,19473936,0,0
1/15/2020,Russia,Europe,144478050,0,0
1/15/2020,San Marino,Europe,33785,0,0
1/15/2020,Singapore,Asia,5638676,0,0
1/15/2020,South Korea,Asia,51635256,0,0
1/15/2020,Spain,Europe,46723749,0,0
1/15/2020,Sri Lanka,Asia,21670000,0,0
1/15/2020,Sweden,Europe,10183175,0,0
1/15/2020,Switzerland,Europe,8516543,0,0
1/15/2020,Taiwan,#N/A,23780452,0,0
1/15/2020,Thailand,Asia,69428524,1,0
1/15/2020,United Arab Emirates,Asia,9630959,0,0
1/15/2020,United Kingdom,Europe,66488991,0,0
1/15/2020,United States,Americas,327167434,0,0
1/15/2020,Vietnam,Asia,95540395,0,0
1/16/2020,Afghanistan,Asia,37172386,0,0
1/16/2020,Algeria,Africa,42228429,0,0
1/16/2020,Armenia,Europe,2951776,0,0
1/16/2020,Australia,Asia,24992369,0,0
1/16/2020,Austria,Europe,8847037,0,0
1/16/2020,Azerbaijan,Europe,9942334,0,0
1/16/2020,Bahrain,Asia,1569439,0,0
1/16/2020,Belarus,Europe,9485386,0,0
1/16/2020,Belgium,Europe,11422068,0,0
1/16/2020,Brazil,Americas,209469333,0,0
1/16/2020,Cambodia,Asia,16249798,0,0
1/16/2020,Canada,Americas,37058856,0,0
1/16/2020,Japan,Asia,3000,1,0
1/16/2020,China,Asia,1392730000,59,2
1/16/2020,Croatia,Europe,4089400,0,0
1/16/2020,Czech Republic,Europe,10625695,0,0
1/16/2020,Denmark,Europe,5797446,0,0
1/16/2020,Dominican Republic,Americas,10627165,0,0
1/16/2020,Ecuador,Americas,17084357,0,0
1/16/2020,Egypt,Africa,98423595,0,0
1/16/2020,Estonia,Europe,1320884,0,0
1/16/2020,Finland,Europe,5518050,0,0
1/16/2020,France,Europe,66987244,0,0
1/16/2020,Georgia,Europe,3731000,0,0
1/16/2020,Germany,Europe,82927922,0,0
1/16/2020,Greece,Europe,10727668,0,0
1/16/2020,Iceland,Europe,353574,0,0
1/16/2020,India,Asia,1352617328,0,0
1/16/2020,Indonesia,Asia,267663435,0,0
1/16/2020,Iran,Asia,81800269,0,0
1/16/2020,Iraq,Asia,38433600,0,0
1/16/2020,Ireland,Europe,4853506,0,0
1/16/2020,Israel,Asia,8883800,0,0
1/16/2020,Italy,Europe,60431283,0,0
1/16/2020,Japan,Asia,126529100,1,0
1/16/2020,Kuwait,Asia,4137309,0,0
1/16/2020,Lebanon,Asia,6848925,0,0
1/16/2020,Lithuania,Europe,2789533,0,0
1/16/2020,Luxembourg,Europe,607728,0,0
1/16/2020,Malaysia,Asia,31528585,0,0
1/16/2020,Mexico,Americas,126190788,0,0
1/16/2020,Monaco,Europe,38682,0,0
1/16/2020,Nepal,Asia,28087871,0,0
1/16/2020,Netherlands,Europe,17231017,0,0
1/16/2020,New Zealand,Asia,4885500,0,0
1/16/2020,Nigeria,Africa,195874740,0,0
1/16/2020,North Macedonia,Europe,2082958,0,0
1/16/2020,Norway,Europe,5314336,0,0
1/16/2020,Oman,Asia,4829483,0,0
1/16/2020,Pakistan,Asia,212215030,0,0
1/16/2020,Philippines,Asia,106651922,0,0
1/16/2020,Qatar,Asia,2781677,0,0
1/16/2020,Romania,Europe,19473936,0,0
1/16/2020,Russia,Europe,144478050,0,0
1/16/2020,San Marino,Europe,33785,0,0
1/16/2020,Singapore,Asia,5638676,0,0
1/16/2020,South Korea,Asia,51635256,0,0
1/16/2020,Spain,Europe,46723749,0,0
1/16/2020,Sri Lanka,Asia,21670000,0,0
1/16/2020,Sweden,Europe,10183175,0,0
1/16/2020,Switzerland,Europe,8516543,0,0
1/16/2020,Taiwan,#N/A,23780452,0,0
1/16/2020,Thailand,Asia,69428524,1,0
1/16/2020,United Arab Emirates,Asia,9630959,0,0
1/16/2020,United Kingdom,Europe,66488991,0,0
1/16/2020,United States,Americas,327167434,0,0
1/16/2020,Vietnam,Asia,95540395,0,0
1/17/2020,Afghanistan,Asia,37172386,0,0
1/17/2020,Algeria,Africa,42228429,0,0
1/17/2020,Armenia,Europe,2951776,0,0
1/17/2020,Australia,Asia,24992369,0,0
1/17/2020,Austria,Europe,8847037,0,0
1/17/2020,Azerbaijan,Europe,9942334,0,0
1/17/2020,Bahrain,Asia,1569439,0,0
1/17/2020,Belarus,Europe,9485386,0,0
1/17/2020,Belgium,Europe,11422068,0,0
1/17/2020,Brazil,Americas,209469333,0,0
1/17/2020,Cambodia,Asia,16249798,0,0
1/17/2020,Canada,Americas,37058856,0,0
1/17/2020,Japan,Asia,3000,1,0
1/17/2020,China,Asia,1392730000,63,2
1/17/2020,Croatia,Europe,4089400,0,0
1/17/2020,Czech Republic,Europe,10625695,0,0
1/17/2020,Denmark,Europe,5797446,0,0
1/17/2020,Dominican Republic,Americas,10627165,0,0
1/17/2020,Ecuador,Americas,17084357,0,0
1/17/2020,Egypt,Africa,98423595,0,0
1/17/2020,Estonia,Europe,1320884,0,0
1/17/2020,Finland,Europe,5518050,0,0
1/17/2020,France,Europe,66987244,0,0
1/17/2020,Georgia,Europe,3731000,0,0
1/17/2020,Germany,Europe,82927922,0,0
1/17/2020,Greece,Europe,10727668,0,0
1/17/2020,Iceland,Europe,353574,0,0
1/17/2020,India,Asia,1352617328,0,0
1/17/2020,Indonesia,Asia,267663435,0,0
1/17/2020,Iran,Asia,81800269,0,0
1/17/2020,Iraq,Asia,38433600,0,0
1/17/2020,Ireland,Europe,4853506,0,0
1/17/2020,Israel,Asia,8883800,0,0
1/17/2020,Italy,Europe,60431283,0,0
1/17/2020,Japan,Asia,126529100,1,0
1/17/2020,Kuwait,Asia,4137309,0,0
1/17/2020,Lebanon,Asia,6848925,0,0
1/17/2020,Lithuania,Europe,2789533,0,0
1/17/2020,Luxembourg,Europe,607728,0,0
1/17/2020,Malaysia,Asia,31528585,0,0
1/17/2020,Mexico,Americas,126190788,0,0
1/17/2020,Monaco,Europe,38682,0,0
1/17/2020,Nepal,Asia,28087871,0,0
1/17/2020,Netherlands,Europe,17231017,0,0
1/17/2020,New Zealand,Asia,4885500,0,0
1/17/2020,Nigeria,Africa,195874740,0,0
1/17/2020,North Macedonia,Europe,2082958,0,0
1/17/2020,Norway,Europe,5314336,0,0
